Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.38,-.52,-.23,-.30,-.04,-.18,-.21,-.25,-.24,-.29,-.43,-.41,-.29,***,***,-.19,-.21,-.32
1881,-.30,-.24,-.05,-.02,.05,-.33,.10,-.05,-.27,-.44,-.36,-.23,-.18,-.19,-.32,-.01,-.09,-.36
1882,.26,.22,.03,-.29,-.22,-.28,-.28,-.14,-.24,-.51,-.33,-.67,-.20,-.17,.08,-.16,-.23,-.36
1883,-.57,-.65,-.14,-.29,-.25,-.11,-.05,-.22,-.33,-.15,-.43,-.14,-.28,-.32,-.63,-.23,-.12,-.31
1884,-.15,-.10,-.63,-.58,-.35,-.40,-.40,-.50,-.44,-.43,-.57,-.46,-.42,-.39,-.13,-.52,-.44,-.48
1885,-1.00,-.45,-.23,-.48,-.57,-.44,-.33,-.40,-.38,-.36,-.37,-.10,-.43,-.46,-.64,-.42,-.39,-.37
1886,-.73,-.83,-.70,-.36,-.33,-.37,-.14,-.42,-.32,-.31,-.40,-.21,-.43,-.42,-.55,-.46,-.31,-.34
1887,-1.08,-.70,-.44,-.38,-.25,-.20,-.24,-.55,-.20,-.49,-.27,-.42,-.43,-.42,-.66,-.35,-.33,-.32
1888,-.48,-.61,-.63,-.21,-.14,-.02,.00,-.21,-.19,-.03,.00,-.23,-.23,-.25,-.50,-.33,-.07,-.07
1889,-.27,.30,-.01,.17,-.03,-.06,-.08,-.20,-.29,-.41,-.61,-.54,-.17,-.14,-.07,.04,-.11,-.44
1890,-.63,-.57,-.46,-.24,-.35,-.15,-.23,-.38,-.34,-.09,-.62,-.46,-.38,-.38,-.58,-.35,-.25,-.35
1891,-.46,-.66,-.15,-.35,-.15,-.12,-.12,-.12,-.07,-.28,-.52,-.01,-.25,-.29,-.53,-.22,-.12,-.29
1892,-.49,-.18,-.66,-.44,-.22,-.05,-.37,-.32,-.20,-.27,-.82,-.67,-.39,-.34,-.23,-.44,-.25,-.43
1893,-1.51,-.96,-.32,-.30,-.43,-.18,-.14,-.34,-.29,-.28,-.34,-.60,-.47,-.48,-1.04,-.35,-.22,-.30
1894,-.91,-.42,-.21,-.53,-.26,-.41,-.20,-.27,-.32,-.27,-.48,-.35,-.39,-.41,-.65,-.33,-.29,-.36
1895,-.70,-.81,-.50,-.18,-.30,-.21,-.19,-.28,-.06,-.09,-.13,-.23,-.31,-.32,-.62,-.33,-.22,-.09
1896,-.36,-.18,-.49,-.60,-.16,.07,.00,-.11,-.13,.04,-.21,-.21,-.20,-.20,-.26,-.42,-.01,-.10
1897,-.40,-.41,-.39,-.05,.13,-.06,.05,-.06,-.06,-.15,-.25,-.29,-.16,-.16,-.34,-.10,-.02,-.15
1898,.05,-.45,-.79,-.28,-.28,-.09,-.12,-.18,-.18,-.37,-.51,-.26,-.29,-.29,-.23,-.45,-.13,-.35
1899,-.13,-.64,-.59,-.22,-.24,-.35,-.16,-.07,-.04,.05,.36,-.46,-.21,-.19,-.35,-.35,-.19,.12
1900,-.62,-.14,.06,-.10,-.04,-.10,-.11,-.08,-.02,.23,-.12,-.02,-.09,-.13,-.41,-.03,-.10,.03
1901,-.33,-.10,.27,.11,-.11,.02,.02,-.16,-.27,-.32,-.19,-.39,-.12,-.09,-.15,.09,-.04,-.26
1902,-.13,-.03,-.37,-.37,-.40,-.39,-.32,-.29,-.33,-.32,-.47,-.60,-.34,-.32,-.19,-.38,-.34,-.37
1903,-.23,.11,-.16,-.46,-.43,-.46,-.43,-.55,-.48,-.46,-.40,-.56,-.38,-.38,-.24,-.35,-.48,-.45
